,Fecha inicio sintomas
0,2020-06-03
1,2020-09-03
2,2020-11-03
3,2020-12-03
4,2020-03-13
5,2020-03-14
6,2020-03-15
7,2020-03-16
8,2020-03-17
9,2020-03-18
10,2020-03-19
11,2020-03-20
12,2020-03-21
13,2020-03-22
14,2020-03-23
15,2020-03-24
16,2020-03-27
17,2020-03-25
18,2020-03-26
19,2020-03-28
20,2020-03-29
21,2020-03-30
22,2020-03-31
23,2020-01-04
24,2020-02-04
25,2020-03-04
26,2020-04-04
27,2020-05-04
28,2020-06-04
29,2020-07-04
30,2020-08-04
31,2020-09-04
32,2020-10-04
33,2020-01-07
34,2020-11-04
35,2020-12-04
36,2020-04-13
37,2020-04-18
38,2020-10-09
39,2020-04-14
40,2020-04-19
41,2020-04-15
42,2020-04-28
43,2020-04-16
44,2020-04-17
45,2020-04-20
46,2020-04-22
47,2020-04-21
48,2020-04-23
49,2020-01-05
50,2020-04-24
51,2020-05-05
52,2020-04-25
53,2020-04-26
54,2020-09-05
55,2020-04-27
56,2020-04-29
57,2020-04-30
58,2020-09-12
59,2020-02-05
60,2020-04-05
61,2020-03-05
62,2020-06-15
63,2020-06-05
64,2020-07-05
65,2020-05-25
66,2020-12-12
67,2020-08-05
68,2020-10-05
69,2020-11-05
70,2020-07-16
71,2020-06-30
72,2020-12-05
73,2020-05-13
74,2020-05-07
75,2020-05-14
76,2020-09-14
77,2020-05-15
78,2020-05-16
79,2020-05-17
80,2020-05-18
81,2020-05-19
82,2020-05-20
83,2020-05-29
84,2020-05-21
85,2020-06-06
86,2020-05-22
87,2020-07-07
88,2020-05-24
89,2020-05-23
90,2020-05-26
91,2020-05-27
92,2020-05-28
93,2020-06-21
94,2020-01-06
95,2020-05-30
96,2020-05-31
97,2020-03-06
98,2020-02-06
99,2020-05-06
100,2020-06-22
101,2020-04-06
102,2020-06-28
103,2020-06-26
104,2020-12-06
105,2020-07-06
106,2020-06-13
107,2020-08-06
108,2020-04-07
109,2020-09-06
110,2020-10-06
111,2020-11-06
112,2020-06-27
113,2020-06-19
114,2020-06-20
115,2020-07-13
116,2020-12-07
117,2020-06-14
118,2020-07-19
119,2020-06-17
120,2020-06-16
121,2020-07-17
122,2020-06-25
123,2020-06-18
124,2020-09-09
125,2020-02-07
126,2020-07-14
127,2020-06-29
128,2020-03-07
129,2020-06-24
130,2020-11-07
131,2020-06-23
132,2020-08-23
133,2020-09-07
134,2020-06-07
135,2020-08-07
136,2020-07-18
137,2020-10-07
138,2020-04-09
139,2020-07-31
140,2020-07-22
141,2020-07-26
142,2020-02-08
143,2020-10-08
144,2020-07-08
145,2020-07-25
146,2020-11-12
147,2020-07-15
148,2020-06-08
149,2020-04-08
150,2020-07-28
151,2020-07-30
152,2020-10-13
153,2020-07-21
154,2020-08-26
155,2020-09-29
156,2020-07-24
157,2020-11-08
158,2020-07-23
159,2020-07-20
160,2020-08-20
161,2020-03-08
162,2020-10-12
163,2020-08-27
164,2020-07-29
165,2020-08-11
166,2020-07-27
167,2020-08-15
168,2020-12-08
169,2020-08-13
170,2020-08-22
171,2020-08-21
172,2020-01-08
173,2020-05-08
174,2020-09-21
175,2020-08-08
176,2020-09-28
177,2020-03-09
178,2020-08-25
179,2020-11-21
180,2020-08-16
181,2020-08-14
182,2020-09-08
183,2020-10-17
184,2020-08-31
185,2020-07-09
186,2020-02-09
187,2020-01-09
188,2020-08-30
189,2020-09-27
190,2020-11-20
191,2020-08-28
192,2020-12-14
193,2020-12-09
194,2020-08-19
195,2020-08-18
196,2020-08-24
197,2020-08-17
198,2020-12-15
199,2020-04-10
200,2020-09-25
201,2020-09-30
202,2020-11-09
203,2020-08-10
204,2020-08-29
205,2020-04-12
206,2020-05-09
207,2020-11-25
208,2020-09-18
209,2020-09-15
210,2020-09-16
211,2020-09-17
212,2020-09-13
213,2020-06-09
214,2020-09-22
215,2020-10-22
216,2020-10-29
217,2020-09-23
218,2020-01-10
219,2020-08-09
220,2020-11-10
221,2020-09-26
222,2020-09-19
223,2020-09-24
224,2020-07-10
225,2020-09-20
226,2021-04-02
227,2020-05-10
228,2020-10-30
229,2020-11-23
230,2020-11-24
231,2020-10-19
232,2020-12-10
233,2020-11-18
234,2020-09-11
235,2020-07-11
236,2020-04-11
237,2020-02-10
238,2020-03-11
239,2020-06-10
240,2020-10-21
241,2020-03-10
242,2020-11-22
243,2020-10-16
244,2020-10-24
245,2020-10-27
246,2020-11-19
247,2020-10-28
248,2020-09-10
249,2020-06-11
250,2020-10-26
251,2020-05-11
252,2020-10-20
253,2020-11-14
254,2020-11-17
255,2020-11-26
256,2020-11-11
257,2020-10-10
258,2020-10-14
259,2020-10-15
260,2020-11-29
261,2020-10-23
262,2020-01-11
263,2020-10-31
264,2020-12-21
265,2020-10-25
266,2020-10-18
267,2020-11-13
268,2020-11-16
269,2020-02-11
270,2020-12-11
271,2020-11-15
272,2020-10-11
273,2021-04-01
274,2020-11-27
275,2020-11-28
276,2020-06-12
277,2020-11-30
278,2020-12-28
279,2020-12-13
280,2020-01-12
281,2021-01-27
282,2020-02-12
283,2020-03-12
284,2020-05-12
285,2020-12-25
286,2020-07-12
287,2020-08-12
288,2020-12-19
289,2020-12-20
290,2020-12-17
291,2020-12-18
292,2021-01-29
293,2020-12-22
294,2020-12-16
295,2020-12-27
296,2020-12-23
297,2020-12-24
298,2020-12-26
299,2021-06-01
300,2020-12-29
301,2020-12-30
302,2020-12-31
303,2021-01-01
304,2021-05-01
305,2021-08-01
306,2021-02-01
307,2021-01-21
308,2021-03-01
309,2021-10-01
310,2021-09-01
311,2021-01-14
312,2021-01-16
313,2021-12-01
314,2021-07-01
315,2021-01-15
316,2021-01-13
317,2021-01-18
318,2021-11-01
319,2021-01-22
320,2021-04-18
321,2021-01-17
322,2021-01-20
323,2021-01-19
324,2021-01-25
325,2021-01-26
326,2021-01-02
327,2021-01-24
328,2021-01-23
329,2021-01-31
330,2021-01-30
331,2021-02-24
332,2021-01-28
333,2021-03-02
334,2021-02-26
335,2021-02-25
336,2021-02-02
337,2021-08-02
338,2021-11-02
339,2021-09-02
340,2021-02-13
341,2021-02-19
342,2021-10-02
343,2021-05-02
344,2021-02-16
345,2021-06-02
346,2021-02-17
347,2021-02-14
348,2021-02-18
349,2021-07-02
350,2021-02-15
351,2021-02-22
352,2021-12-02
353,2021-02-23
354,2021-02-21
355,2021-02-20
356,2021-02-27
357,2021-02-28
358,2021-01-03
359,2021-02-03
360,2021-03-03
361,2021-04-03
362,2021-05-03
363,2021-06-03
364,2021-07-03
365,2021-08-03
366,2021-09-03
367,2021-10-03
368,2021-11-03
369,2021-12-03
370,2021-03-13
371,2021-03-14
372,2021-03-15
373,2021-03-16
374,2021-03-17
375,2021-03-18
376,2021-03-19
377,2021-03-20
378,2021-03-21
379,2021-03-22
380,2021-03-23
381,2021-03-24
382,2021-03-25
383,2021-03-26
384,2021-03-27
385,2021-03-28
386,2021-03-29
387,2021-03-30
388,2021-03-31
389,2021-01-04
390,2021-02-04
391,2021-03-04
392,2021-04-04
393,2021-05-04
394,2021-06-04
395,2021-07-04
396,2021-08-04
397,2021-09-04
398,2021-10-04
399,2021-11-04
400,2021-12-04
401,2021-04-13
402,2021-04-14
403,2021-04-15
404,2021-04-16
405,2021-04-17
406,2021-04-19
407,2021-04-21
408,2021-04-20
409,2021-04-22
410,2021-04-23
411,2021-04-24
412,2021-04-25
413,2021-04-26
414,2021-04-27
415,2021-04-28
416,2021-04-29
417,2021-04-30
418,2021-01-05
419,2021-02-05
420,2021-03-05
421,2021-04-05
422,2021-05-05
423,2021-06-05
424,2021-07-05
425,2021-08-05
426,2021-09-05
427,2021-10-05
428,2021-11-05
429,2021-05-15
430,2021-12-05
431,2021-05-13
432,2021-05-14
433,2021-05-16
434,2021-05-17
435,2021-05-18
436,2021-05-19
437,2021-05-20
438,2021-05-21
439,2021-05-22
440,2021-05-23
441,2021-05-24
442,2021-05-25
443,2021-05-26
